date,iowa,ohio,iowa_returns,ohio_returns,spread
2022-04-01,7.12,7.07,0.08042488619119892,0.08269525267993871,-0.04999999999999982
2022-05-01,7.34,7.08,0.030898876404494402,0.0014144271570013522,-0.2599999999999998
2022-06-01,7.48,7.22,0.019073569482289,0.0197740112994349,-0.2600000000000007
2022-07-01,7.44,6.64,-0.005347593582887722,-0.08033240997229918,-0.8000000000000007
2022-08-01,7.4,6.85,-0.005376344086021501,0.031626506024096335,-0.5500000000000007
2022-09-01,7.42,6.58,0.002702702702702675,-0.039416058394160514,-0.8399999999999999
2022-10-01,6.53,6.27,-0.11994609164420478,-0.0471124620060791,-0.2600000000000007
2022-11-01,6.5,6.31,-0.004594180704441064,0.006379585326953707,-0.1900000000000004
2022-12-01,6.69,6.24,0.029230769230769393,-0.011093502377178988,-0.4500000000000002
2023-01-01,6.74,6.42,0.007473841554558991,0.028846153846153744,-0.3200000000000003
2023-02-01,6.83,6.49,0.01335311572700304,0.010903426791277315,-0.33999999999999986
2023-03-01,6.7,6.28,-0.019033674963396807,-0.03235747303543912,-0.41999999999999993
2023-04-01,6.75,6.42,0.00746268656716409,0.022292993630573132,-0.33000000000000007
2023-05-01,6.57,6.1,-0.026666666666666616,-0.049844236760124616,-0.47000000000000064
2023-06-01,6.57,6.19,0.0,0.014754098360655776,-0.3799999999999999
2023-07-01,6.33,5.98,-0.0365296803652968,-0.03392568659127626,-0.34999999999999964
2023-08-01,5.77,5.56,-0.08846761453396534,-0.07023411371237476,-0.20999999999999996
2023-09-01,5.22,5.5,-0.09532062391681106,-0.010791366906474753,0.28000000000000025
2023-10-01,4.96,4.85,-0.04980842911877392,-0.11818181818181828,-0.11000000000000032
2023-11-01,4.74,4.4,-0.04435483870967738,-0.09278350515463907,-0.33999999999999986
2023-12-01,4.89,4.64,0.03164556962025311,0.05454545454545445,-0.25
2024-01-01,4.84,4.43,-0.010224948875255602,-0.04525862068965514,-0.41000000000000014
2024-02-01,4.39,4.32,-0.09297520661157033,-0.02483069977426622,-0.0699999999999994
2024-03-01,4.43,4.32,0.009111617312072884,0.0,-0.10999999999999943
2024-04-01,4.5,4.31,0.015801354401805856,-0.0023148148148149916,-0.1900000000000004
2024-05-01,4.63,4.43,0.028888888888888964,0.0278422273781902,-0.20000000000000018
2024-06-01,4.6,4.38,-0.006479481641468721,-0.011286681715575564,-0.21999999999999975
2024-07-01,4.32,4.04,-0.060869565217391175,-0.07762557077625565,-0.28000000000000025
2024-08-01,4.02,3.68,-0.06944444444444464,-0.08910891089108908,-0.3399999999999994
2024-09-01,4.09,3.72,0.017412935323383172,0.010869565217391353,-0.36999999999999966
2024-10-01,4.01,3.82,-0.019559902200488977,0.026881720430107503,-0.18999999999999995
2024-11-01,4.12,4.03,0.02743142144638422,0.054973821989528826,-0.08999999999999986
2024-12-01,4.27,4.31,0.036407766990291135,0.06947890818858538,0.040000000000000036
2025-01-01,4.37,4.33,0.023419203747072626,0.0046403712296985145,-0.040000000000000036
2025-02-01,4.59,4.67,0.05034324942791746,0.07852193995381063,0.08000000000000007
2025-03-01,4.53,4.66,-0.013071895424836555,-0.0021413276231262435,0.1299999999999999
2025-04-01,4.64,4.8,0.024282560706401668,0.030042918454935563,0.16000000000000014
2025-05-01,4.64,4.87,0.0,0.014583333333333393,0.23000000000000043
2025-06-01,4.46,4.7,-0.0387931034482758,-0.03490759753593431,0.2400000000000002
2025-07-01,4.2,4.57,-0.058295964125560484,-0.02765957446808509,0.3700000000000001
2025-08-01,3.89,4.16,-0.07380952380952377,-0.0897155361050328,0.27
2025-09-01,3.9,3.97,0.0025706940874035134,-0.04567307692307687,0.07000000000000028
2025-10-01,3.9,3.98,0.0,0.0025188916876572875,0.08000000000000007
2025-11-01,3.99,4.15,0.023076923076923217,0.04271356783919611,0.16000000000000014
2025-12-01,4.21,4.36,0.05513784461152871,0.050602409638554224,0.15000000000000036
2026-01-01,4.13,4.19,-0.019002375296912177,-0.03899082568807333,0.0600000000000005
2026-02-01,4.12,4.41,-0.002421307506053183,0.05250596658711215,0.29000000000000004
2026-03-01,4.28,4.59,0.03883495145631066,0.04081632653061207,0.3099999999999996
2026-04-01,4.29,4.68,0.002336448598130758,0.019607843137254832,0.3899999999999997
2026-05-01,4.45,4.84,0.037296037296037365,0.03418803418803429,0.3899999999999997
